nohup: ignoring input
/home/chenjx/Code/test01
 Epoch:89 -> lossA : 0.06457327492535114 , time_cost = 1.15s
 Epoch:90 -> lossA : 0.049516139551997185 , time_cost = 1.10s
 Epoch:91 -> lossA : 0.04905587621033192 , time_cost = 1.12s
 Epoch:92 -> lossA : 0.05834505893290043 , time_cost = 1.20s
 Epoch:93 -> lossA : 0.04836592637002468 , time_cost = 1.11s
 Epoch:94 -> lossA : 0.044426197186112404 , time_cost = 1.12s
 Epoch:95 -> lossA : 0.05336747318506241 , time_cost = 1.14s
 Epoch:96 -> lossA : 0.046888090670108795 , time_cost = 1.18s
 Epoch:97 -> lossA : 0.04698607139289379 , time_cost = 1.12s
 Epoch:98 -> lossA : 0.0550880953669548 , time_cost = 1.19s
 Epoch:99 -> lossA : 0.056858958676457405 , time_cost = 1.10s
 Epoch:100 -> lossA : 0.06587793305516243 , time_cost = 1.11s
MAE = 0.7920792079207921 , MSE = 1.4059405940594059 , QWK = 0.2789393166751657, C-index = 0.4105608893380495
 Epoch:1 -> lossA : 0.1307779997587204 , time_cost = 1.58s
 Epoch:2 -> lossA : 0.10929406434297562 , time_cost = 1.26s
 Epoch:3 -> lossA : 0.10777189582586288 , time_cost = 1.30s
 Epoch:4 -> lossA : 0.10423995554447174 , time_cost = 1.39s
 Epoch:5 -> lossA : 0.08276332542300224 , time_cost = 1.33s
 Epoch:6 -> lossA : 0.08160759881138802 , time_cost = 1.28s
 Epoch:7 -> lossA : 0.08567162975668907 , time_cost = 1.25s
 Epoch:8 -> lossA : 0.0733608789741993 , time_cost = 1.35s
 Epoch:9 -> lossA : 0.07152783125638962 , time_cost = 1.33s
 Epoch:10 -> lossA : 0.06925514340400696 , time_cost = 1.33s
 Epoch:11 -> lossA : 0.06154061295092106 , time_cost = 1.30s
 Epoch:12 -> lossA : 0.05863481014966965 , time_cost = 1.23s
 Epoch:13 -> lossA : 0.05696195363998413 , time_cost = 1.53s
 Epoch:14 -> lossA : 0.05633433349430561 , time_cost = 1.59s
 Epoch:15 -> lossA : 0.05277734994888306 , time_cost = 1.43s
 Epoch:16 -> lossA : 0.05272504314780235 , time_cost = 1.50s
 Epoch:17 -> lossA : 0.053593311458826065 , time_cost = 1.44s
 Epoch:18 -> lossA : 0.06343074887990952 , time_cost = 1.37s
 Epoch:19 -> lossA : 0.06034635193645954 , time_cost = 1.31s
 Epoch:20 -> lossA : 0.056766077876091 , time_cost = 1.39s
 Epoch:21 -> lossA : 0.05046164244413376 , time_cost = 1.29s
 Epoch:22 -> lossA : 0.05028388276696205 , time_cost = 1.25s
 Epoch:23 -> lossA : 0.05117390863597393 , time_cost = 1.25s
 Epoch:24 -> lossA : 0.053206970915198326 , time_cost = 1.39s
 Epoch:25 -> lossA : 0.05629235692322254 , time_cost = 1.59s
 Epoch:26 -> lossA : 0.058583902195096016 , time_cost = 1.27s
 Epoch:27 -> lossA : 0.04675566032528877 , time_cost = 1.34s
 Epoch:28 -> lossA : 0.04836347699165344 , time_cost = 1.27s
 Epoch:29 -> lossA : 0.04745079576969147 , time_cost = 1.25s
 Epoch:30 -> lossA : 0.05399719998240471 , time_cost = 1.26s
 Epoch:31 -> lossA : 0.048396555706858635 , time_cost = 1.25s
 Epoch:32 -> lossA : 0.05786791257560253 , time_cost = 1.21s
 Epoch:33 -> lossA : 0.04650953412055969 , time_cost = 1.25s
 Epoch:34 -> lossA : 0.06091608479619026 , time_cost = 1.63s
 Epoch:35 -> lossA : 0.053020890802145004 , time_cost = 1.26s
 Epoch:36 -> lossA : 0.059706877917051315 , time_cost = 1.27s
 Epoch:37 -> lossA : 0.04844414070248604 , time_cost = 1.25s
 Epoch:38 -> lossA : 0.041995128616690636 , time_cost = 1.24s
 Epoch:39 -> lossA : 0.04190370440483093 , time_cost = 1.59s
 Epoch:40 -> lossA : 0.06627588532865047 , time_cost = 1.31s
 Epoch:41 -> lossA : 0.048229752108454704 , time_cost = 1.25s
 Epoch:42 -> lossA : 0.045095501467585564 , time_cost = 1.28s
 Epoch:43 -> lossA : 0.044623153284192085 , time_cost = 1.27s
 Epoch:44 -> lossA : 0.049903592094779015 , time_cost = 1.26s
 Epoch:45 -> lossA : 0.04862680658698082 , time_cost = 1.25s
 Epoch:46 -> lossA : 0.04801412671804428 , time_cost = 1.38s
 Epoch:47 -> lossA : 0.07848458737134933 , time_cost = 1.25s
 Epoch:48 -> lossA : 0.06436330452561378 , time_cost = 1.25s
 Epoch:49 -> lossA : 0.06972564943134785 , time_cost = 1.41s
 Epoch:50 -> lossA : 0.051484497264027596 , time_cost = 1.26s
 Epoch:51 -> lossA : 0.054840052500367165 , time_cost = 1.28s
 Epoch:52 -> lossA : 0.050139833241701126 , time_cost = 1.21s
 Epoch:53 -> lossA : 0.0417092889547348 , time_cost = 1.35s
 Epoch:54 -> lossA : 0.04742252081632614 , time_cost = 1.28s
 Epoch:55 -> lossA : 0.04193329997360706 , time_cost = 1.46s
 Epoch:56 -> lossA : 0.05172356031835079 , time_cost = 1.31s
 Epoch:57 -> lossA : 0.05257907696068287 , time_cost = 1.24s
 Epoch:58 -> lossA : 0.05014503374695778 , time_cost = 1.57s
 Epoch:59 -> lossA : 0.06786270067095757 , time_cost = 1.23s
 Epoch:60 -> lossA : 0.06085349805653095 , time_cost = 1.34s
